Company,Metric,Period,Value
Intel,Debt to Equity,FQ 1Q12,0.151582549
Intel,Debt to Equity,FQ 4Q11,0.154298534
Intel,Debt to Equity,FQ 3Q11,0.153435826
Intel,Debt to Equity,FQ 2Q11,0.042895552
Intel,Debt to Equity,FQ 1Q11,0.043992481
Intel,Debt to Equity,FQ 4Q10,0.042019017
Intel,Debt to Equity,FQ 3Q10,0.043462764
Intel,Debt to Equity,FQ 2Q10,0.044894309
Intel,Debt to Equity,FQ 1Q10,0.047832168
Intel,Debt to Equity,FQ 4Q09,0.049131978
Intel,Debt to Equity,FQ 3Q09,0.056388184
Intel,Debt to Equity,FQ 2Q09,0.03006633
Intel,Debt to Equity,FQ 1Q09,0.02995085
Intel,Debt to Equity,FQ 4Q08,0.029965104
Intel,Debt to Equity,FQ 3Q08,0.048546683
Intel,Debt to Equity,FQ 2Q08,0.046876936
Intel,Debt to Equity,FQ 1Q08,0.04894245
Intel,Debt to Equity,FQ 4Q07,0.046302792
Intel,Debt to Equity,FQ 3Q07,0.045303408
Intel,Debt to Equity,FQ 2Q07,0.046551464
Intel,Debt to Equity,FQ 1Q07,0.049245856
Intel,Debt to Equity,FQ 4Q06,0.050282978
Intel,Debt to Equity,FQ 3Q06,0.058828569
Intel,Debt to Equity,FQ 2Q06,0.059029774
Intel,Debt to Equity,FQ 1Q06,0.059374818
Intel,Debt to Equity,FQ 4Q05,0.058205738
Intel,Debt to Equity,FQ 3Q05,0.01177882
Intel,Debt to Equity,FQ 2Q05,0.011431914
Intel,Debt to Equity,FQ 1Q05,0.012304102
Intel,Debt to Equity,FQ 4Q04,0.018222349
Intel,Debt to Equity,FQ 3Q04,0.023092028
Intel,Debt to Equity,FQ 2Q04,0.023268468
Intel,Debt to Equity,FQ 1Q04,0.024324324
Intel,Debt to Equity,FQ 4Q03,0.024731808
Intel,Debt to Equity,FQ 3Q03,0.023607505
Intel,Debt to Equity,FQ 2Q03,0.025753733
Intel,Debt to Equity,FQ 1Q03,0.023417418
Intel,Debt to Equity,FQ 4Q02,0.026192624
Intel,Debt to Equity,FQ 3Q02,0.028322995
Intel,Debt to Equity,FQ 2Q02,0.030382237
Intel,Debt to Equity,FQ 1Q02,0.029670943
Intel,Debt to Equity,FQ 4Q01,0.029305052
Intel,Debt to Equity,FQ 3Q01,0.027073701
Intel,Debt to Equity,FQ 2Q01,0.025259949
Intel,Debt to Equity,FQ 1Q01,0.019069289
Intel,Debt to Equity,FQ 4Q00,0.018943251
Intel,Debt to Equity,FQ 3Q00,0.016178226
Intel,Debt to Equity,FQ 2Q00,0.02375751
Intel,Debt to Equity,FQ 1Q00,0.024042323
Intel,Debt to Equity,FQ 4Q99,0.029353004
Intel,Debt to Equity,FQ 3Q99,0.030292646
Intel,Debt to Equity,FQ 2Q99,0.026146357
Intel,Debt to Equity,FQ 1Q99,0.028269837
Intel,Debt to Equity,FQ 4Q98,0.030029516
Intel,Debt to Equity,FQ 3Q98,0.026744346
Intel,Debt to Equity,FQ 2Q98,0.021718125
Intel,Debt to Equity,FQ 1Q98,0.020430855
Intel,Debt to Equity,FQ 4Q97,0.02321845
Intel,Debt to Equity,FQ 3Q97,0.019352251
Intel,Debt to Equity,FQ 2Q97,0.02688728
Intel,Debt to Equity,FQ 1Q97,0.028115502
Intel,Debt to Equity,FQ 4Q96,0.043148412
Intel,Debt to Equity,FQ 3Q96,0.04691259
Intel,Debt to Equity,FQ 2Q96,0.028738116
Intel,Debt to Equity,FQ 1Q96,0.030850322
Intel,Debt to Equity,FQ 4Q95,0.032948929
Intel,Debt to Equity,FQ 3Q95,0.036041704
Intel,Debt to Equity,FQ 2Q95,0.038530046
Intel,Debt to Equity,FQ 1Q95,0.04037174
Intel,Debt to Equity,FQ 4Q94,0.042300637
Intel,Debt to Equity,FQ 3Q94,0.043305347
Intel,Debt to Equity,FQ 2Q94,0.036383285
Intel,Debt to Equity,FQ 1Q94,0.052689757
Intel,Debt to Equity,FQ 4Q93,0.0568
Intel,Debt to Equity,FQ 3Q93,0.059420765
Intel,Debt to Equity,FQ 2Q93,0.049380017
Intel,Debt to Equity,FQ 1Q93,0.048866522
Intel,Debt to Equity,FQ 4Q92,0.045730028
Intel,Debt to Equity,FQ 3Q92,0.054145083
Intel,Debt to Equity,FQ 2Q92,0.075032975
Intel,Debt to Equity,FQ 1Q92,0.073959511
Intel,Debt to Equity,FQ 4Q91,0.082052559
Intel,Debt to Equity,FQ 3Q91,0.082445278
Intel,Debt to Equity,FQ 2Q91,0.085931799
Intel,Debt to Equity,FQ 1Q91,0.090961158
Intel,Debt to Equity,FQ 4Q90,0.095948768
Intel,Debt to Equity,FQ 3Q90,0.099315168
Intel,Debt to Equity,FQ 2Q90,0.106060606
Intel,Debt to Equity,FQ 1Q90,0.144937055
Intel,Debt to Equity,FQ 4Q89,0.161840866
Intel,Debt to Equity,FQ 3Q89,0.184954798
Intel,Debt to Equity,FQ 2Q89,0.201695942
Intel,Debt to Equity,FQ 1Q89,
Intel,Debt to Equity,FQ 4Q88,0.230421614
Intel,Debt to Equity,FQ 3Q88,
Intel,Debt to Equity,FQ 2Q88,
Intel,Debt to Equity,FQ 1Q88,
Intel,Debt to Equity,FQ 4Q87,0.228184323
Intel,Debt to Equity,FQ 3Q87,
Intel,Debt to Equity,FQ 2Q87,
Intel,Debt to Equity,FQ 1Q87,
Intel,Debt to Equity,FQ 4Q86,0.224749059
Intel,Debt to Equity,FQ 3Q86,
Intel,Debt to Equity,FQ 2Q86,
Intel,Debt to Equity,FQ 1Q86,
Intel,Debt to Equity,FQ 4Q85,0.19050299
Intel,Debt to Equity,FQ 3Q85,
Intel,Debt to Equity,FQ 2Q85,
Intel,Debt to Equity,FQ 1Q85,
Intel,Debt to Equity,FQ 4Q84,0.107557712
Intel,Debt to Equity,FQ 3Q84,
Intel,Debt to Equity,FQ 2Q84,
Intel,Debt to Equity,FQ 1Q84,
Intel,EBITDA (Analyst Normalized),FQ 1Q25,3339000
Intel,EBITDA (Analyst Normalized),FQ 4Q24,2683000
Intel,EBITDA (Analyst Normalized),FQ 3Q24,1242000
Intel,EBITDA (Analyst Normalized),FQ 2Q24,2608000
Intel,EBITDA (Analyst Normalized),FQ 1Q24,3315000
Intel,EBITDA (Analyst Normalized),FQ 4Q23,5064000
Intel,EBITDA (Analyst Normalized),FQ 3Q23,4336000
Intel,EBITDA (Analyst Normalized),FQ 2Q23,2818000
Intel,EBITDA (Analyst Normalized),FQ 1Q23,2021000
Intel,EBITDA (Analyst Normalized),FQ 4Q22,3888000
Intel,EBITDA (Analyst Normalized),FQ 3Q22,4950000
Intel,EBITDA (Analyst Normalized),FQ 2Q22,4478000
Intel,EBITDA (Analyst Normalized),FQ 1Q22,7542000
Intel,EBITDA (Analyst Normalized),FQ 4Q21,8521000
Intel,EBITDA (Analyst Normalized),FQ 3Q21,8734000
Intel,EBITDA (Analyst Normalized),FQ 2Q21,9328000
Intel,EBITDA (Analyst Normalized),FQ 1Q21,9420000
Intel,EBITDA (Analyst Normalized),FQ 4Q20,10880000
Intel,EBITDA (Analyst Normalized),FQ 3Q20,8603000
Intel,EBITDA (Analyst Normalized),FQ 2Q20,8874000
Intel,EBITDA (Analyst Normalized),FQ 1Q20,10120000
Intel,EBITDA (Analyst Normalized),FQ 4Q19,10679000
Intel,EBITDA (Analyst Normalized),FQ 3Q19,9381000
Intel,EBITDA (Analyst Normalized),FQ 2Q19,7651000
Intel,EBITDA (Analyst Normalized),FQ 1Q19,6922000
Intel,EBITDA (Analyst Normalized),FQ 4Q18,8637000
Intel,EBITDA (Analyst Normalized),FQ 3Q18,9336000
Intel,EBITDA (Analyst Normalized),FQ 2Q18,7367988.764
Intel,EBITDA (Analyst Normalized),FQ 1Q18,6622000
Intel,EBITDA (Analyst Normalized),FQ 4Q17,7248000
Intel,EBITDA (Analyst Normalized),FQ 3Q17,7337000
Intel,EBITDA (Analyst Normalized),FQ 2Q17,5956000
Intel,EBITDA (Analyst Normalized),FQ 1Q17,5659000
Intel,EBITDA (Analyst Normalized),FQ 4Q16,6547000
Intel,EBITDA (Analyst Normalized),FQ 3Q16,6754000
Intel,EBITDA (Analyst Normalized),FQ 2Q16,4820000
Intel,EBITDA (Analyst Normalized),FQ 1Q16,5047000
Intel,EBITDA (Analyst Normalized),FQ 4Q15,6511000
Intel,EBITDA (Analyst Normalized),FQ 3Q15,6462000
Intel,EBITDA (Analyst Normalized),FQ 2Q15,5347000
Intel,EBITDA (Analyst Normalized),FQ 1Q15,4855000
Intel,EBITDA (Analyst Normalized),FQ 4Q14,6677000
Intel,EBITDA (Analyst Normalized),FQ 3Q14,6751000
Intel,EBITDA (Analyst Normalized),FQ 2Q14,6089000
Intel,EBITDA (Analyst Normalized),FQ 1Q14,4768000
Intel,EBITDA (Analyst Normalized),FQ 4Q13,5613000
Intel,EBITDA (Analyst Normalized),FQ 3Q13,5649000
Intel,EBITDA (Analyst Normalized),FQ 2Q13,4707000
Intel,EBITDA (Analyst Normalized),FQ 1Q13,4583000
Intel,EBITDA (Analyst Normalized),FQ 4Q12,5227000
Intel,EBITDA (Analyst Normalized),FQ 3Q12,5826000
Intel,EBITDA (Analyst Normalized),FQ 2Q12,5989000
Intel,EBITDA (Analyst Normalized),FQ 1Q12,5820000
Intel,EBITDA (Analyst Normalized),FQ 4Q11,6424000
Intel,EBITDA (Analyst Normalized),FQ 3Q11,6665000
Intel,EBITDA (Analyst Normalized),FQ 2Q11,5702000
Intel,EBITDA (Analyst Normalized),FQ 1Q11,5962000
Intel,EBITDA (Analyst Normalized),FQ 4Q10,5347000
Intel,EBITDA (Analyst Normalized),FQ 3Q10,5362000
Intel,EBITDA (Analyst Normalized),FQ 2Q10,5309000
Intel,EBITDA (Analyst Normalized),FQ 1Q10,
Intel,EBITDA (Analyst Normalized),FQ 4Q09,5084000
Intel,EBITDA (Analyst Normalized),FQ 3Q09,3796000
Intel,EBITDA (Analyst Normalized),FQ 2Q09,2736000
Intel,EBITDA (Analyst Normalized),FQ 1Q09,1878000
Intel,EBITDA (Analyst Normalized),FQ 4Q08,1839000
Intel,EBITDA (Analyst Normalized),FQ 3Q08,3994000
Intel,EBITDA (Analyst Normalized),FQ 2Q08,3385000
Intel,EBITDA (Analyst Normalized),FQ 1Q08,3665000
Intel,EBITDA (Analyst Normalized),FQ 4Q07,4666000
Intel,EBITDA (Analyst Normalized),FQ 3Q07,3791000
Intel,EBITDA (Analyst Normalized),FQ 2Q07,2742000
Intel,EBITDA (Analyst Normalized),FQ 1Q07,3124000
Intel,EBITDA (Analyst Normalized),FQ 4Q06,3354000
Intel,EBITDA (Analyst Normalized),FQ 3Q06,3070000
Intel,EBITDA (Analyst Normalized),FQ 2Q06,
Intel,EBITDA (Analyst Normalized),FQ 1Q06,
Intel,EBITDA (Analyst Normalized),FQ 4Q05,
Intel,EBITDA (Analyst Normalized),FQ 3Q05,4357000
Intel,EBITDA (Analyst Normalized),FQ 2Q05,3871000
Intel,EBITDA (Analyst Normalized),FQ 1Q05,
Intel,EBITDA (Analyst Normalized),FQ 4Q04,
Intel,EBITDA (Analyst Normalized),FQ 3Q04,
Intel,EBITDA (Analyst Normalized),FQ 2Q04,
Intel,EBITDA (Analyst Normalized),FQ 1Q04,3777000
Intel,EBITDA (Analyst Normalized),FQ 4Q03,
Intel,EBITDA (Analyst Normalized),FQ 3Q03,
Intel,EBITDA (Analyst Normalized),FQ 2Q03,
Intel,EBITDA (Analyst Normalized),FQ 1Q03,
Intel,EBITDA (Analyst Normalized),FQ 4Q02,
Intel,EBITDA (Analyst Normalized),FQ 3Q02,2185000
Intel,EBITDA (Analyst Normalized),FQ 2Q02,2017000
Intel,EBITDA (Analyst Normalized),FQ 1Q02,
Intel,EBITDA (Analyst Normalized),FQ 4Q01,
Intel,EBITDA (Analyst Normalized),FQ 3Q01,
Intel,EBITDA (Analyst Normalized),FQ 2Q01,
Intel,EBITDA (Analyst Normalized),FQ 1Q01,
Intel,EBITDA (Analyst Normalized),FQ 4Q00,
Intel,EBITDA (Analyst Normalized),FQ 3Q00,
Intel,EBITDA (Analyst Normalized),FQ 2Q00,
Intel,EBITDA (Analyst Normalized),FQ 1Q00,
Intel,EBITDA (Analyst Normalized),FQ 4Q99,
Intel,EBITDA (Analyst Normalized),FQ 3Q99,
Intel,EBITDA (Analyst Normalized),FQ 2Q99,
Intel,EBITDA (Analyst Normalized),FQ 1Q99,
Intel,EBITDA (Analyst Normalized),FQ 4Q98,
Intel,EBITDA (Analyst Normalized),FQ 3Q98,
Intel,EBITDA (Analyst Normalized),FQ 2Q98,
Intel,EBITDA (Analyst Normalized),FQ 1Q98,
Intel,EBITDA (Analyst Normalized),FQ 4Q97,
Intel,EBITDA (Analyst Normalized),FQ 3Q97,
Intel,EBITDA (Analyst Normalized),FQ 2Q97,
Intel,EBITDA (Analyst Normalized),FQ 1Q97,
Intel,EBITDA (Analyst Normalized),FQ 4Q96,
Intel,EBITDA (Analyst Normalized),FQ 3Q96,
Intel,EBITDA (Analyst Normalized),FQ 2Q96,
Intel,EBITDA (Analyst Normalized),FQ 1Q96,
Intel,EBITDA (Analyst Normalized),FQ 4Q95,
Intel,EBITDA (Analyst Normalized),FQ 3Q95,
Intel,EBITDA (Analyst Normalized),FQ 2Q95,
Intel,EBITDA (Analyst Normalized),FQ 1Q95,
Intel,EBITDA (Analyst Normalized),FQ 4Q94,
Intel,EBITDA (Analyst Normalized),FQ 3Q94,
Intel,EBITDA (Analyst Normalized),FQ 2Q94,
Intel,EBITDA (Analyst Normalized),FQ 1Q94,
Intel,EBITDA (Analyst Normalized),FQ 4Q93,
Intel,EBITDA (Analyst Normalized),FQ 3Q93,
Intel,EBITDA (Analyst Normalized),FQ 2Q93,
Intel,EBITDA (Analyst Normalized),FQ 1Q93,
Intel,EBITDA (Analyst Normalized),FQ 4Q92,
Intel,EBITDA (Analyst Normalized),FQ 3Q92,
Intel,EBITDA (Analyst Normalized),FQ 2Q92,
Intel,EBITDA (Analyst Normalized),FQ 1Q92,
Intel,EBITDA (Analyst Normalized),FQ 4Q91,
Intel,EBITDA (Analyst Normalized),FQ 3Q91,
Intel,EBITDA (Analyst Normalized),FQ 2Q91,
Intel,EBITDA (Analyst Normalized),FQ 1Q91,
Intel,EBITDA (Analyst Normalized),FQ 4Q90,
Intel,EBITDA (Analyst Normalized),FQ 3Q90,
Intel,EBITDA (Analyst Normalized),FQ 2Q90,
Intel,EBITDA (Analyst Normalized),FQ 1Q90,
Intel,EBITDA (Analyst Normalized),FQ 4Q89,
Intel,EBITDA (Analyst Normalized),FQ 3Q89,
Intel,EBITDA (Analyst Normalized),FQ 2Q89,
Intel,EBITDA (Analyst Normalized),FQ 1Q89,
Intel,EBITDA (Analyst Normalized),FQ 4Q88,
Intel,EBITDA (Analyst Normalized),FQ 3Q88,
Intel,EBITDA (Analyst Normalized),FQ 2Q88,
Intel,EBITDA (Analyst Normalized),FQ 1Q88,
Intel,EBITDA (Analyst Normalized),FQ 4Q87,
Intel,EBITDA (Analyst Normalized),FQ 3Q87,
Intel,EBITDA (Analyst Normalized),FQ 2Q87,
Intel,EBITDA (Analyst Normalized),FQ 1Q87,
Intel,EBITDA (Analyst Normalized),FQ 4Q86,
Intel,EBITDA (Analyst Normalized),FQ 3Q86,
Intel,EBITDA (Analyst Normalized),FQ 2Q86,
Intel,EBITDA (Analyst Normalized),FQ 1Q86,
Intel,EBITDA (Analyst Normalized),FQ 4Q85,
Intel,EBITDA (Analyst Normalized),FQ 3Q85,
Intel,EBITDA (Analyst Normalized),FQ 2Q85,
Intel,EBITDA (Analyst Normalized),FQ 1Q85,
Intel,EBITDA (Analyst Normalized),FQ 4Q84,
Intel,EBITDA (Analyst Normalized),FQ 3Q84,
Intel,EBITDA (Analyst Normalized),FQ 2Q84,
Intel,EBITDA (Analyst Normalized),FQ 1Q84,
AMD,Total Revenue,FQ 1Q25,7438000
AMD,Total Revenue,FQ 4Q24,7658000
AMD,Total Revenue,FQ 3Q24,6819000
AMD,Total Revenue,FQ 2Q24,5835000
AMD,Total Revenue,FQ 1Q24,5473000
AMD,Total Revenue,FQ 4Q23,6168000
AMD,Total Revenue,FQ 3Q23,5800000
AMD,Total Revenue,FQ 2Q23,5359000
AMD,Total Revenue,FQ 1Q23,5353000
AMD,Total Revenue,FQ 4Q22,5599000
AMD,Total Revenue,FQ 3Q22,5565000
AMD,Total Revenue,FQ 2Q22,6550000
AMD,Total Revenue,FQ 1Q22,5887000
AMD,Total Revenue,FQ 4Q21,4826000
AMD,Total Revenue,FQ 3Q21,4313000
AMD,Total Revenue,FQ 2Q21,3850000
AMD,Total Revenue,FQ 1Q21,3445000
AMD,Total Revenue,FQ 4Q20,3244000
AMD,Total Revenue,FQ 3Q20,2801000
AMD,Total Revenue,FQ 2Q20,1932000
AMD,Total Revenue,FQ 1Q20,1786000
AMD,Total Revenue,FQ 4Q19,2127000
AMD,Total Revenue,FQ 3Q19,1801000
AMD,Total Revenue,FQ 2Q19,1531000
AMD,Total Revenue,FQ 1Q19,1272000
AMD,Total Revenue,FQ 4Q18,1419000
AMD,Total Revenue,FQ 3Q18,1653000
AMD,Total Revenue,FQ 2Q18,1756000
AMD,Total Revenue,FQ 1Q18,1647000
AMD,Total Revenue,FQ 4Q17,1340000
AMD,Total Revenue,FQ 3Q17,1584000
AMD,Total Revenue,FQ 2Q17,1151000
AMD,Total Revenue,FQ 1Q17,1178000
AMD,Total Revenue,FQ 4Q16,1153000
AMD,Total Revenue,FQ 3Q16,1307000
AMD,Total Revenue,FQ 2Q16,1027000
AMD,Total Revenue,FQ 1Q16,832000
AMD,Total Revenue,FQ 4Q15,958000
AMD,Total Revenue,FQ 3Q15,1061000
AMD,Total Revenue,FQ 2Q15,942000
AMD,Total Revenue,FQ 1Q15,1030000
AMD,Total Revenue,FQ 4Q14,1239000
AMD,Total Revenue,FQ 3Q14,1429000
AMD,Total Revenue,FQ 2Q14,1441000
AMD,Total Revenue,FQ 1Q14,1397000
AMD,Total Revenue,FQ 4Q13,1589000
AMD,Total Revenue,FQ 3Q13,1461000
AMD,Total Revenue,FQ 2Q13,1161000
AMD,Total Revenue,FQ 1Q13,1088000
AMD,Total Revenue,FQ 4Q12,1155000
AMD,Total Revenue,FQ 3Q12,1269000
AMD,Total Revenue,FQ 2Q12,1413000
AMD,Total Revenue,FQ 1Q12,1585000
AMD,Total Revenue,FQ 4Q11,1691000
AMD,Total Revenue,FQ 3Q11,1690000
AMD,Total Revenue,FQ 2Q11,1574000
AMD,Total Revenue,FQ 1Q11,1613000
AMD,Total Revenue,FQ 4Q10,1649000
AMD,Total Revenue,FQ 3Q10,1618000
AMD,Total Revenue,FQ 2Q10,1653000
AMD,Total Revenue,FQ 1Q10,1574000
AMD,Total Revenue,FQ 4Q09,1646000
AMD,Total Revenue,FQ 3Q09,1396000
AMD,Total Revenue,FQ 2Q09,1184000
AMD,Total Revenue,FQ 1Q09,1177000
AMD,Total Revenue,FQ 4Q08,1162000
AMD,Total Revenue,FQ 3Q08,1797000
AMD,Total Revenue,FQ 2Q08,1362000
AMD,Total Revenue,FQ 1Q08,1487000
AMD,Total Revenue,FQ 4Q07,1861000
AMD,Total Revenue,FQ 3Q07,1558000
AMD,Total Revenue,FQ 2Q07,1378000
AMD,Total Revenue,FQ 1Q07,1233000
AMD,Total Revenue,FQ 4Q06,1751000
AMD,Total Revenue,FQ 3Q06,1328000
AMD,Total Revenue,FQ 2Q06,1216367
AMD,Total Revenue,FQ 1Q06,1332000
AMD,Total Revenue,FQ 4Q05,1838276
AMD,Total Revenue,FQ 3Q05,1522755
AMD,Total Revenue,FQ 2Q05,1259918
AMD,Total Revenue,FQ 1Q05,1226628
AMD,Total Revenue,FQ 4Q04,1263706
AMD,Total Revenue,FQ 3Q04,1239459
AMD,Total Revenue,FQ 2Q04,1261837
AMD,Total Revenue,FQ 1Q04,1236433
AMD,Total Revenue,FQ 4Q03,1205593
AMD,Total Revenue,FQ 3Q03,953759
AMD,Total Revenue,FQ 2Q03,645261
AMD,Total Revenue,FQ 1Q03,714555
AMD,Total Revenue,FQ 4Q02,686430
AMD,Total Revenue,FQ 3Q02,508227
AMD,Total Revenue,FQ 2Q02,600299
AMD,Total Revenue,FQ 1Q02,902073
AMD,Total Revenue,FQ 4Q01,951873
AMD,Total Revenue,FQ 3Q01,765870
AMD,Total Revenue,FQ 2Q01,985264
AMD,Total Revenue,FQ 1Q01,1188747
AMD,Total Revenue,FQ 4Q00,1175172
AMD,Total Revenue,FQ 3Q00,1206549
AMD,Total Revenue,FQ 2Q00,1170437
AMD,Total Revenue,FQ 1Q00,1092029
AMD,Total Revenue,FQ 4Q99,968700
AMD,Total Revenue,FQ 3Q99,662200
AMD,Total Revenue,FQ 2Q99,595100
AMD,Total Revenue,FQ 1Q99,631593
AMD,Total Revenue,FQ 4Q98,788800
AMD,Total Revenue,FQ 3Q98,685900
AMD,Total Revenue,FQ 2Q98,526500
AMD,Total Revenue,FQ 1Q98,540900
AMD,Total Revenue,FQ 4Q97,613171
AMD,Total Revenue,FQ 3Q97,596644
AMD,Total Revenue,FQ 2Q97,594561
AMD,Total Revenue,FQ 1Q97,551999
AMD,Total Revenue,FQ 4Q96,496868
AMD,Total Revenue,FQ 3Q96,456862
AMD,Total Revenue,FQ 2Q96,455077
AMD,Total Revenue,FQ 1Q96,544212
AMD,Total Revenue,FQ 4Q95,631684
AMD,Total Revenue,FQ 3Q95,590385
AMD,Total Revenue,FQ 2Q95,626214
AMD,Total Revenue,FQ 1Q95,620096
AMD,Total Revenue,FQ 4Q94,545209
AMD,Total Revenue,FQ 3Q94,543114
AMD,Total Revenue,FQ 2Q94,533297
AMD,Total Revenue,FQ 1Q94,513080
AMD,Total Revenue,FQ 4Q93,413400
AMD,Total Revenue,FQ 3Q93,418400
AMD,Total Revenue,FQ 2Q93,409100
AMD,Total Revenue,FQ 1Q93,407400
AMD,Total Revenue,FQ 4Q92,400200
AMD,Total Revenue,FQ 3Q92,356700
AMD,Total Revenue,FQ 2Q92,350200
AMD,Total Revenue,FQ 1Q92,407400
AMD,Total Revenue,FQ 4Q91,366100
AMD,Total Revenue,FQ 3Q91,289400
AMD,Total Revenue,FQ 2Q91,296800
AMD,Total Revenue,FQ 1Q91,274300
AMD,Total Revenue,FQ 4Q90,265900
AMD,Total Revenue,FQ 3Q90,254200
AMD,Total Revenue,FQ 2Q90,267700
AMD,Total Revenue,FQ 1Q90,271500
AMD,Total Revenue,FQ 4Q89,285200
AMD,Total Revenue,FQ 3Q89,274800
AMD,Total Revenue,FQ 2Q89,274900
AMD,Total Revenue,FQ 1Q89,269600
AMD,Total Revenue,FQ 4Q88,248100
AMD,Total Revenue,FQ 3Q88,285500
AMD,Total Revenue,FQ 2Q88,308100
AMD,Total Revenue,FQ 1Q88,284200
AMD,Total Revenue,FQ 4Q87,262600
AMD,Total Revenue,FQ 3Q87,260900
AMD,Total Revenue,FQ 2Q87,157700
AMD,Total Revenue,FQ 1Q87,153900
AMD,Total Revenue,FQ 4Q86,153400
AMD,Total Revenue,FQ 3Q86,144100
AMD,Total Revenue,FQ 2Q86,128100
AMD,Total Revenue,FQ 1Q86,150600
AMD,Total Revenue,FQ 4Q85,201100
AMD,Total Revenue,FQ 3Q85,238600
AMD,Total Revenue,FQ 2Q85,257100
AMD,Total Revenue,FQ 1Q85,234300
AMD,Net Income (Normalized),FQ 1Q25,1566000
AMD,Net Income (Normalized),FQ 4Q24,1777000
AMD,Net Income (Normalized),FQ 3Q24,1504000
AMD,Net Income (Normalized),FQ 2Q24,1126000
AMD,Net Income (Normalized),FQ 1Q24,1013000
AMD,Net Income (Normalized),FQ 4Q23,1249000
AMD,Net Income (Normalized),FQ 3Q23,1135000
AMD,Net Income (Normalized),FQ 2Q23,948000
AMD,Net Income (Normalized),FQ 1Q23,970000
AMD,Net Income (Normalized),FQ 4Q22,1113000
AMD,Net Income (Normalized),FQ 3Q22,1095000
AMD,Net Income (Normalized),FQ 2Q22,1707000
AMD,Net Income (Normalized),FQ 1Q22,1589000
AMD,Net Income (Normalized),FQ 4Q21,1122000
AMD,Net Income (Normalized),FQ 3Q21,893000
AMD,Net Income (Normalized),FQ 2Q21,778000
AMD,Net Income (Normalized),FQ 1Q21,642000
AMD,Net Income (Normalized),FQ 4Q20,636000
AMD,Net Income (Normalized),FQ 3Q20,501000
AMD,Net Income (Normalized),FQ 2Q20,216000
AMD,Net Income (Normalized),FQ 1Q20,222000
AMD,Net Income (Normalized),FQ 4Q19,383000
AMD,Net Income (Normalized),FQ 3Q19,219000
AMD,Net Income (Normalized),FQ 2Q19,92000
AMD,Net Income (Normalized),FQ 1Q19,62000
AMD,Net Income (Normalized),FQ 4Q18,87000
AMD,Net Income (Normalized),FQ 3Q18,150000
AMD,Net Income (Normalized),FQ 2Q18,156000
AMD,Net Income (Normalized),FQ 1Q18,121000
AMD,Net Income (Normalized),FQ 4Q17,8000
AMD,Net Income (Normalized),FQ 3Q17,110000
AMD,Net Income (Normalized),FQ 2Q17,19000
AMD,Net Income (Normalized),FQ 1Q17,-38000
AMD,Net Income (Normalized),FQ 4Q16,-8000
AMD,Net Income (Normalized),FQ 3Q16,27000
AMD,Net Income (Normalized),FQ 2Q16,-40000
AMD,Net Income (Normalized),FQ 1Q16,-96000
AMD,Net Income (Normalized),FQ 4Q15,-79000
AMD,Net Income (Normalized),FQ 3Q15,-136000
AMD,Net Income (Normalized),FQ 2Q15,-131000
AMD,Net Income (Normalized),FQ 1Q15,-73000
AMD,Net Income (Normalized),FQ 4Q14,18000
AMD,Net Income (Normalized),FQ 3Q14,20000
AMD,Net Income (Normalized),FQ 2Q14,17000
AMD,Net Income (Normalized),FQ 1Q14,12000
AMD,Net Income (Normalized),FQ 4Q13,45000
AMD,Net Income (Normalized),FQ 3Q13,31000
AMD,Net Income (Normalized),FQ 2Q13,-65000
AMD,Net Income (Normalized),FQ 1Q13,-94000
AMD,Net Income (Normalized),FQ 4Q12,-102000
AMD,Net Income (Normalized),FQ 3Q12,-150000
AMD,Net Income (Normalized),FQ 2Q12,46000
AMD,Net Income (Normalized),FQ 1Q12,-562491.9614
AMD,Net Income (Normalized),FQ 4Q11,138000
AMD,Net Income (Normalized),FQ 3Q11,115850
AMD,Net Income (Normalized),FQ 2Q11,76250
AMD,Net Income (Normalized),FQ 1Q11,524400
AMD,Net Income (Normalized),FQ 4Q10,163523.0769
AMD,Net Income (Normalized),FQ 3Q10,-90405.7971
AMD,Net Income (Normalized),FQ 2Q10,-28050
AMD,Net Income (Normalized),FQ 1Q10,277000
AMD,Net Income (Normalized),FQ 4Q09,1195852.225
AMD,Net Income (Normalized),FQ 3Q09,-152357.1429
AMD,Net Income (Normalized),FQ 2Q09,-321405.7971
AMD,Net Income (Normalized),FQ 1Q09,-422450
AMD,Net Income (Normalized),FQ 4Q08,-908450
AMD,Net Income (Normalized),FQ 3Q08,143250
AMD,Net Income (Normalized),FQ 2Q08,302000
AMD,Net Income (Normalized),FQ 1Q08,-299000
AMD,Net Income (Normalized),FQ 4Q07,-1403000
AMD,Net Income (Normalized),FQ 3Q07,-344000
AMD,Net Income (Normalized),FQ 2Q07,-600000
AMD,Net Income (Normalized),FQ 1Q07,-611000
AMD,Net Income (Normalized),FQ 4Q06,-546000
AMD,Net Income (Normalized),FQ 3Q06,136000
AMD,Net Income (Normalized),FQ 2Q06,88847
AMD,Net Income (Normalized),FQ 1Q06,185000
AMD,Net Income (Normalized),FQ 4Q05,95587
AMD,Net Income (Normalized),FQ 3Q05,76000
AMD,Net Income (Normalized),FQ 2Q05,11319
AMD,Net Income (Normalized),FQ 1Q05,-17423
AMD,Net Income (Normalized),FQ 4Q04,-27304.03432
